,number_week,artist_individual,true_streams,rank
0,20210204,Morgan Wallen,41154265.0,1.0
1,20210204,Juice WRLD,23806035.0,2.0
2,20210204,Olivia Rodrigo,14680951.0,3.0
3,20210204,DaBaby,12250092.916666666,4.0
4,20210204,The Weeknd,11862890.5,5.0
5,20210204,Ariana Grande,10742572.666666666,6.0
6,20210204,Pop Smoke,9676661.166666666,7.0
7,20210204,XXXTENTACION,9543013.0,8.0
8,20210204,Doja Cat,9373003.666666666,9.0
9,20210204,The Kid LAROI,8931957.25,10.0
10,20210211,Morgan Wallen,35149399.0,1.0
11,20210211,The Weeknd,32871111.0,2.0
12,20210211,Juice WRLD,22412866.25,3.0
13,20210211,Olivia Rodrigo,12482797.5,4.0
14,20210211,DaBaby,12383262.416666666,5.0
15,20210211,Ariana Grande,10213367.666666666,6.0
16,20210211,Doja Cat,9063185.666666666,7.0
17,20210211,Pop Smoke,8601846.666666666,8.0
18,20210211,Cardi B,8595627.5,9.0
19,20210211,The Kid LAROI,8484127.25,10.0
20,20210218,Morgan Wallen,24649250.0,1.0
21,20210218,The Weeknd,23173779.5,2.0
22,20210218,Juice WRLD,22079842.0,3.0
23,20210218,Taylor Swift,12194428.0,4.0
24,20210218,DaBaby,11688151.333333334,5.0
25,20210218,Olivia Rodrigo,9726007.0,6.0
26,20210218,Ariana Grande,9667395.333333334,7.0
27,20210218,XXXTENTACION,9108371.0,8.0
28,20210218,Lil Tjay,8425916.0,9.0
29,20210218,Doja Cat,8224949.833333333,10.0
30,20210225,Morgan Wallen,22872890.0,1.0
31,20210225,Juice WRLD,21381992.75,2.0
32,20210225,Ariana Grande,16419604.833333334,3.0
33,20210225,The Weeknd,15788807.0,4.0
34,20210225,DaBaby,10609406.583333334,5.0
35,20210225,Doja Cat,9596632.333333334,6.0
36,20210225,Olivia Rodrigo,9387295.0,7.0
37,20210225,Pop Smoke,9311033.333333334,8.0
38,20210225,Cardi B,8321029.5,9.0
39,20210225,The Kid LAROI,7979659.75,10.0
40,20210304,Morgan Wallen,20458648.0,1.0
41,20210304,Juice WRLD,18904468.25,2.0
42,20210304,The Weeknd,14212187.0,3.0
43,20210304,Pop Smoke,12167932.666666666,4.0
44,20210304,Post Malone,11786386.5,5.0
45,20210304,DaBaby,11780743.75,6.0
46,20210304,Ariana Grande,9587955.0,7.0
47,20210304,Olivia Rodrigo,8464069.0,8.0
48,20210304,Doja Cat,8463478.5,9.0
49,20210304,Billie Eilish,8435884.5,10.0
50,20210311,Drake,31868455.333333332,1.0
51,20210311,Juice WRLD,18875003.75,2.0
52,20210311,Morgan Wallen,18281064.0,3.0
53,20210311,Lil Baby,13862335.5,4.0
54,20210311,The Weeknd,12789541.0,5.0
55,20210311,DaBaby,12115365.0,6.0
56,20210311,Pop Smoke,10542206.5,7.0
57,20210311,Justin Bieber,10063139.0,8.0
58,20210311,Post Malone,8922489.5,9.0
59,20210311,Doja Cat,8705626.166666666,10.0
60,20210318,Drake,18705659.5,1.0
61,20210318,Juice WRLD,17948549.333333332,2.0
62,20210318,Morgan Wallen,15595490.0,3.0
63,20210318,The Weeknd,12266744.0,4.0
64,20210318,DaBaby,12230710.916666666,5.0
65,20210318,Lil Baby,10334684.5,6.0
66,20210318,Pop Smoke,9816787.0,7.0
67,20210318,Doja Cat,8624825.833333334,8.0
68,20210318,Billie Eilish,8484420.0,9.0
69,20210318,Cardi B,8417652.0,10.0
70,20210325,Justin Bieber,53824716.833333336,1.0
71,20210325,Juice WRLD,16416283.5,2.0
72,20210325,Drake,16093895.5,3.0
73,20210325,Morgan Wallen,15134207.0,4.0
74,20210325,DaBaby,11943577.333333334,5.0
75,20210325,The Weeknd,11690348.0,6.0
76,20210325,Giveon,10336777.833333332,7.0
77,20210325,Pop Smoke,9582596.833333334,8.0
78,20210325,Dua Lipa,8992314.0,9.0
79,20210325,The Kid LAROI,8612892.0,10.0
80,20210401,Justin Bieber,33837942.5,1.0
81,20210401,Lil Nas X,14869711.0,2.0
82,20210401,Morgan Wallen,14750755.0,3.0
83,20210401,Juice WRLD,14461503.0,4.0
84,20210401,Drake,13256314.5,5.0
85,20210401,NF,12240365.5,6.0
86,20210401,DaBaby,12120544.416666666,7.0
87,20210401,The Weeknd,11234672.0,8.0
88,20210401,Rod Wave,10957356.0,9.0
89,20210401,Giveon,9659703.0,10.0
90,20210408,Justin Bieber,20600708.166666668,1.0
91,20210408,Lil Nas X,16750436.0,2.0
92,20210408,Morgan Wallen,14769715.0,3.0
93,20210408,Olivia Rodrigo,14598498.0,4.0
94,20210408,Juice WRLD,13915982.5,5.0
95,20210408,Drake,12774520.0,6.0
96,20210408,DaBaby,12025848.583333334,7.0
97,20210408,The Weeknd,11079132.0,8.0
98,20210408,Giveon,9659487.666666666,9.0
99,20210408,Dua Lipa,8809670.5,10.0
100,20210415,Taylor Swift,80805398.0,1.0
101,20210415,Polo G,25465739.666666668,2.0
102,20210415,Lil Nas X,15099319.0,3.0
103,20210415,Olivia Rodrigo,13678868.0,4.0
104,20210415,DMX,13259246.0,5.0
105,20210415,Justin Bieber,13193075.666666666,6.0
106,20210415,Juice WRLD,12877926.0,7.0
107,20210415,Morgan Wallen,12013484.0,8.0
108,20210415,Drake,11950762.5,9.0
109,20210415,DaBaby,11691163.916666666,10.0
110,20210422,Polo G,23134491.0,1.0
111,20210422,Drake,15050437.25,2.0
112,20210422,Juice WRLD,13611331.5,3.0
113,20210422,Olivia Rodrigo,13515452.0,4.0
114,20210422,Morgan Wallen,13237605.0,5.0
115,20210422,Justin Bieber,13083039.0,6.0
116,20210422,Lil Nas X,12439284.0,7.0
117,20210422,DaBaby,12102453.166666666,8.0
118,20210422,Doja Cat,11509211.0,9.0
119,20210422,The Weeknd,10269668.0,10.0
120,20210429,Polo G,20882896.666666668,1.0
121,20210429,Juice WRLD,13495954.5,2.0
122,20210429,Drake,13297258.5,3.0
123,20210429,Morgan Wallen,13172103.0,4.0
124,20210429,The Weeknd,12851617.0,5.0
