,week,country,rank,artist_names,artists_num,artist_individual,artist_id,artist_genre,artist_img,collab,track_name,release_date,source,peak_rank,previous_rank,weeks_on_chart,streams,region,language,ISO3,number_week,true_streams
3262,2022-01-06,Argentina,1,"Bizarrap, Tiago PZK",2,Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,argentine hip hop,https://i.scdn.co/image/ab6761610000e5eb12085fdb28f314e01ef73a19,1,"Tiago PZK: Bzrp Music Sessions, Vol. 48",2021-12-29,WEA Latina/DALE PLAY Records,1,54,2,3165700,South America,Spanish,ARG,20220106,1582850.0
3263,2022-01-06,Australia,1,"Elton John, Dua Lipa, PNAU",3,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,piano rock,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,1,Cold Heart - PNAU Remix,2021-10-22,EMI,1,7,21,1421140,Oceania,English,AUS,20220106,473713.3333333333
3264,2022-01-06,Austria,1,GAYLE,1,GAYLE,spotify:artist:2VSHKHBTiXWplO8lxcnUC9,modern alternative pop,https://i.scdn.co/image/ab6761610000e5eb5b5c8ffc310c50665586e424,0,abcdefu,2021-08-13,Atlantic/Arthouse Records,1,8,8,235335,Europe,German,AUT,20220106,235335.0
3265,2022-01-06,Belgium,1,GAYLE,1,GAYLE,spotify:artist:2VSHKHBTiXWplO8lxcnUC9,modern alternative pop,https://i.scdn.co/image/ab6761610000e5eb5b5c8ffc310c50665586e424,0,abcdefu,2021-08-13,Atlantic/Arthouse Records,1,3,8,376474,Europe,Dutch,BEL,20220106,376474.0
3266,2022-01-06,Bolivia,1,"TINI, L-Gante",2,TINI,spotify:artist:7vXDAI8JwjW531ouMGbfcp,pop argentino,https://i.scdn.co/image/ab6761610000e5eb0cd53a4c51d4cde67789432d,1,Bar,2021-11-11,Sony Music Latin,1,1,8,128978,South America,Spanish,BOL,20220106,64489.0
3267,2022-01-06,Brazil,1,"Xamã, Gustah, Neo Beats",3,Xamã,spotify:artist:5YwzDz4RJfTiMHS4tdR5Lf,trap brasileiro,https://i.scdn.co/image/ab6761610000e5ebf9555f0eee8d576b418a3c00,1,Malvadão 3,2021-11-30,Bagua Records,1,5,5,10076114,South America,Portuguese,BRA,20220106,3358704.6666666665
3268,2022-01-06,Bulgaria,1,"Galena, Azis",2,Galena,spotify:artist:5M7RMcbgYy45XzC51HU355,chalga,https://i.scdn.co/image/ab6761610000e5eb03458419b80f02358c289110,1,А+Г=ВНЛ,2021-12-09,Galena,1,1,4,60297,Europe,Bulgarian,BGR,20220106,30148.5
3269,2022-01-06,Canada,1,"Elton John, Dua Lipa, PNAU",3,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,glam rock,https://i.scdn.co/image/ab6761610000e5eb0a7388b95df960b5c0da8970,1,Cold Heart - PNAU Remix,2021-10-22,EMI,1,18,21,1110076,North America,English,CAN,20220106,370025.3333333333
3270,2022-01-06,Chile,1,"Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile",4,Cris Mj,spotify:artist:1Yj5Xey7kTwvZla8sqdsdE,mambo chileno,https://i.scdn.co/image/ab6761610000e5eb8f4ebcf4a5d23a2515374f89,1,Los Malvekes,2021-10-29,Nabru Records LLC,1,1,10,1977673,South America,Spanish,CHL,20220106,494418.25
3271,2022-01-06,Colombia,1,"Ryan Castro, Feid",2,Ryan Castro,spotify:artist:7j6DKwmjbxvpQO8h914uEz,trap colombiano,https://i.scdn.co/image/ab6761610000e5eb489f4dcf59ce0444bf727529,1,Monastery,2021-11-12,UMLE - Latino,1,1,8,1025109,South America,Spanish,COL,20220106,512554.5
3272,2022-01-06,Costa Rica,1,"Siho Villalobos, DEEIKEL",2,Siho Villalobos,spotify:artist:5eab0u4WjbuWHcmLhvmkso,pop costarricense,https://i.scdn.co/image/ab6761610000e5eb5c4f831cb97a5a38e5ec3b39,1,REZAS,2021-12-24,953 & Way Up CR,1,7,2,224335,Central America,Spanish,CRI,20220106,112167.5
3273,2022-01-06,Cyprus,1,"SNIK, FLY LO, Mike G",3,SNIK,spotify:artist:6wN4QyhoM6fN49kEB25rnl,greek hip hop,https://i.scdn.co/image/ab6761610000e5eb3814d5f09daa97cab6b7cf32,1,Chinchilla,2021-12-17,Minos - EMI SA Distribution Deals,1,1,3,18403,Europe,Greek,CYP,20220106,6134.333333333333
3274,2022-01-06,Czechia,1,Viktor Sheen,1,Viktor Sheen,spotify:artist:4cG43cUBRJWWDsRh4SW48i,czech hip hop,https://i.scdn.co/image/ab6761610000e5ebab2b1cfe61e9837bb108ef06,0,Stíny,2021-11-17,WM Czech Republic,1,1,8,291240,Europe,Czech,CZE,20220106,291240.0
3275,2022-01-06,Denmark,1,"Tobias Rahim, andreas odbjerg",2,Tobias Rahim,spotify:artist:1w2fVGZN37TieWhlqS8UwB,danish pop,https://i.scdn.co/image/ab6761610000e5eb57129afa3b748eb2f017fc3b,1,STOR MAND (feat. Andreas Odbjerg),2021-08-13,Sony Music Entertainment,1,1,21,952967,Europe,Danish,DNK,20220106,476483.5
3276,2022-01-06,Dominican Republic,1,"Tainy, Bad Bunny, Julieta Venegas",3,Tainy,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,latin hip hop,https://i.scdn.co/image/ab6761610000e5eb0b4ecb49d9dcd631a07a1315,1,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Neon16,1,1,14,94097,Caribbean,Spanish,DOM,20220106,31365.666666666668
3277,2022-01-06,Ecuador,1,"Blessd, Justin Quiles, Lenny Tavárez",3,Blessd,spotify:artist:1TA5sGRlKUJXBN4ZyJuDIX,trap latino,https://i.scdn.co/image/ab6761610000e5eb0320f3e47b1015923bf9cc8b,1,Medallo,2021-10-27,WEA Latina,1,1,10,294056,South America,Spanish,ECU,20220106,98018.66666666667
3278,2022-01-06,Egypt,1,Muslim - مُسلِم,1,Muslim - مُسلِم,spotify:artist:2PM82jOCB674w4BL08zFVS,egyptian alternative,https://i.scdn.co/image/ab6761610000e5eb03ed049216ad8cc3047a6d03,0,Etnaset,2021-10-21,Digital Sound,1,1,11,128684,Middle East,Arabic,EGY,20220106,128684.0
3279,2022-01-06,El Salvador,1,"Tainy, Bad Bunny, Julieta Venegas",3,Tainy,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,pop reggaeton,https://i.scdn.co/image/ab6761610000e5eb0b4ecb49d9dcd631a07a1315,1,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Neon16,1,1,14,150322,Central America,Spanish,SLV,20220106,50107.333333333336
