,number_week,ISO3,artist_individual,artist_genre,true_streams
0,20210204,ARE,Olivia Rodrigo,pop,86430.0
1,20210204,ARE,CJ,nyc rap,44608.0
2,20210204,ARE,The Weeknd,canadian contemporary r&b,41018.0
3,20210204,ARE,Ariana Grande,dance pop,36725.0
4,20210204,ARE,SZA,r&b,36546.0
5,20210204,ARE,The Weeknd,pop,34658.0
6,20210204,ARE,BTS,k-pop boy group,32591.0
7,20210204,ARE,24kGoldn,cali rap,17571.5
8,20210204,ARE,iann dior,pop rap,17571.5
9,20210204,ARE,DaBaby,trap,17167.0
10,20210204,ARE,Dua Lipa,dance pop,17167.0
11,20210204,ARG,KAROL G,latin,2136696.0
12,20210204,ARG,Boza,latin,1940335.0
13,20210204,ARG,Camilo,latin pop,1632714.0
14,20210204,ARG,Juhn,trap latino,1331296.5
15,20210204,ARG,Myke Towers,reggaeton,1331296.5
16,20210204,ARG,L-Gante,cumbia 420,1126520.5
17,20210204,ARG,Papu DJ,cumbia 420,1126520.5
18,20210204,ARG,Bad Bunny,trap latino,1091352.5
19,20210204,ARG,Jhay Cortez,trap latino,1091352.5
20,20210204,ARG,Alico,0,904210.5
21,20210204,ARG,Migrantes,cumbia pop,904210.5
22,20210204,AUS,Olivia Rodrigo,pop,2698362.0
23,20210204,AUS,The Kid LAROI,australian hip hop,2578739.0
24,20210204,AUS,Glass Animals,shiver pop,2262616.0
25,20210204,AUS,SZA,r&b,1103275.0
26,20210204,AUS,Doja Cat,pop,962631.0
27,20210204,AUS,Justin Bieber,canadian pop,955995.0
28,20210204,AUS,24kGoldn,cali rap,534785.0
29,20210204,AUS,iann dior,pop rap,534785.0
30,20210204,AUS,DaBaby,rap,481416.5
31,20210204,AUS,Dua Lipa,uk pop,481416.5
32,20210204,AUS,Joel Corry,pop,469526.5
33,20210204,AUT,Olivia Rodrigo,pop,279070.0
34,20210204,AUT,Ufo361,german hip hop,187119.0
35,20210204,AUT,The Kid LAROI,australian hip hop,164858.0
36,20210204,AUT,Tiësto,big room,126093.0
37,20210204,AUT,CJ,nyc rap,121987.0
38,20210204,AUT,Ed Sheeran,pop,116840.0
39,20210204,AUT,KASIMIR1441,tekk,108416.33333333333
40,20210204,AUT,WILDBWOYS,0,108416.33333333333
41,20210204,AUT,badmómzjay,german drill,108416.33333333333
42,20210204,AUT,24kGoldn,pop rap,76053.5
43,20210204,AUT,iann dior,pop rap,76053.5
44,20210204,BEL,Olivia Rodrigo,pop,572616.0
45,20210204,BEL,The Kid LAROI,australian hip hop,329325.0
46,20210204,BEL,Tiësto,pop,322201.0
47,20210204,BEL,Tate McRae,pop,223170.0
48,20210204,BEL,CJ,nyc rap,215728.0
49,20210204,BEL,Lil Nas X,lgbtq+ hip hop,214707.0
50,20210204,BEL,24kGoldn,cali rap,134912.5
